dt,cat,bytestotal
201909290000,ABC,641786716415
201909290000,DEF,2549305636975
201909290000,GHI,2528786986378
201909290000,JKL,20073531010849
201909290000,MNO,2102627670
201909290000,ABC,379324087079
201909290000,DEF,2847170070297
201909290000,GHI,2628136097083
201909290000,JKL,7910391372004
201909290000,MNO,685461045400
201909290000,ABC,2085281867534
201909290000,DEF,1976920710811
201909290000,GHI,7769815154596
201909290000,JKL,5940648065
201909290000,MNO,657935038175
201909290000,ABC,1877643181147
201909290000,DEF,1782728265550
201909290000,GHI,7620896021681
201909290000,JKL,213386
201909290000,MNO,8370823373
201909290100,ABC,638150464243
201909290100,DEF,2689596314497
201909290100,GHI,2726181244419
201909290100,JKL,21736094356550
201909290100,MNO,2066358466
201909290100,ABC,360763259280
201909290100,DEF,2890075605299
201909290100,GHI,2694929503145
201909290100,JKL,8025829171706
201909290100,MNO,691783027232
201909290100,ABC,1977074005231
201909290100,DEF,1892776381373
201909290100,GHI,7487846472781
201909290100,JKL,4578332591
201909290100,MNO,621073917562
201909290100,ABC,1767832292908
201909290100,DEF,1714680614049
201909290100,GHI,7236952337532
201909290100,JKL,211888
201909290100,MNO,10481543274
201909290200,ABC,645422062184
201909290200,DEF,2920493752532
201909290200,GHI,2874585815449
201909290200,JKL,23277559786400
201909290200,MNO,1963395514
201909290200,ABC,348572322373
201909290200,DEF,2916432586526
201909290200,GHI,2765733986892
201909290200,JKL,8105534147406
201909290200,MNO,635676856958
201909290200,ABC,1790501444713
201909290200,DEF,1700784829736
201909290200,GHI,6682315127246
201909290200,JKL,4383556525
201909290200,MNO,524762633625
201909290200,ABC,1537106627863
201909290200,DEF,1467259642039
201909290200,GHI,6253018182675
201909290200,JKL,19832
201909290200,MNO,8531174983
201909290300,ABC,643132886530
201909290300,DEF,2971449491684
201909290300,GHI,2984103266877
201909290300,JKL,23422625618853
201909290300,MNO,1990654967
201909290300,ABC,334320558661
201909290300,DEF,2759124944308
201909290300,GHI,2601355755142
201909290300,JKL,8075606680699
201909290300,MNO,524978633471
201909290300,ABC,1506172451085
201909290300,DEF,1388638175700
201909290300,GHI,5597524699863
201909290300,JKL,4728573799
201909290300,MNO,394778534740
201909290300,ABC,1175950274643
201909290300,DEF,1157808592500
201909290300,GHI,4828901305367
201909290300,JKL,147878
201909290300,MNO,8456628116
201909290400,ABC,565109125365
201909290400,DEF,2766077452401
201909290400,GHI,2801876294844
201909290400,JKL,21713221241856
201909290400,MNO,2291890087
201909290400,ABC,316902700222
201909290400,DEF,2654948143484
201909290400,GHI,2529755152692
201909290400,JKL,7910747514645
201909290400,MNO,419801464856
201909290400,ABC,1185449094085
201909290400,DEF,1081970085264
201909290400,GHI,4249341810662
201909290400,JKL,4731901806
201909290400,MNO,293645091423
201909290400,ABC,822173493744
201909290400,DEF,820012708027
201909290400,GHI,3426654838199
201909290400,JKL,76338
201909290400,MNO,10979424445
201909290500,ABC,452448432015
201909290500,DEF,2269741972087
201909290500,GHI,2223989186385
201909290500,JKL,17728616702073
201909290500,MNO,2412603048
