time,traffic
14/07/2018,632270.034
15/07/2018,701935.4925
16/07/2018,727636.3017
17/07/2018,711961.1279
18/07/2018,704331.2428
19/07/2018,699067.3105
20/07/2018,675564.0111
21/07/2018,679976.0937
22/07/2018,690675.5903
23/07/2018,716636.5279
24/07/2018,723477.3728
25/07/2018,708086.1621
26/07/2018,701099.6534
27/07/2018,680188.0598
28/07/2018,683170.4198
29/07/2018,703604.6272
30/07/2018,720285.025
31/07/2018,735833.1207
01/08/2018,749396.4384
02/08/2018,743990.8985
03/08/2018,684440.2683
04/08/2018,661631.2439
05/08/2018,688654.7846
06/08/2018,709601.5018
07/08/2018,740665.6231
08/08/2018,727963.2333
09/08/2018,715058.4533
10/08/2018,711040.7026
11/08/2018,692684.5365
12/08/2018,699415.3857
13/08/2018,726030.6264
14/08/2018,714422.0177
15/08/2018,752220.8868
16/08/2018,736035.16
17/08/2018,682026.7698
18/08/2018,658799.6003
19/08/2018,692068.699
20/08/2018,751550.2028
21/08/2018,740108.2586
22/08/2018,734654.8813
23/08/2018,756311.2086
24/08/2018,713625.5834
25/08/2018,720081.9036
26/08/2018,730024.8734
27/08/2018,740251.8789
28/08/2018,743549.862
29/08/2018,752947.9652
30/08/2018,794600.2186
31/08/2018,740484.8002
01/09/2018,730111.3304
02/09/2018,740193.3296
03/09/2018,758888.054
04/09/2018,750115.2692
05/09/2018,763452.8857
06/09/2018,791635.1337
07/09/2018,743909.0089
08/09/2018,735109.1096
09/09/2018,749888.6433
10/09/2018,783415.5566
11/09/2018,773850.8993
12/09/2018,784695.0538
13/09/2018,772940.7268
14/09/2018,735217.4959
15/09/2018,739149.1485
16/09/2018,713228.0246
17/09/2018,721382.2215
18/09/2018,728791.0499
19/09/2018,724167.9043
20/09/2018,739626.3962
21/09/2018,754763.3222
22/09/2018,779622.6503
23/09/2018,738646.0544
24/09/2018,763168.9849
25/09/2018,733767.3044
26/09/2018,766497.0818
27/09/2018,766738.9434
28/09/2018,763128.874
29/09/2018,755832.1679
30/09/2018,733953.3939
01/10/2018,747117.699
02/10/2018,756264.942
03/10/2018,763395.8022
04/10/2018,797916.4489
05/10/2018,780472.6456
06/10/2018,769112.7805
07/10/2018,746861.9337
08/10/2018,755560.8339
09/10/2018,766595.6876
10/10/2018,790573.3809
11/10/2018,808844.1757
12/10/2018,809415.2944
